Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,participant_id,posture
4.11,4.21,6.18,4.3,5.81,7.69,3.15,4.32,0.0,5.59,4.01,0.03,4.59,01,leaning-backward
4.26,4.16,6.05,4.43,5.89,7.81,3.26,4.43,0.0,5.69,4.19,4.24,4.99,01,leaning-backward
4.35,4.21,6.1,4.43,5.89,7.81,3.28,4.4,0.0,5.66,4.19,5.07,4.99,01,leaning-backward
4.32,4.16,5.97,4.4,5.81,7.69,3.21,4.4,0.0,5.63,4.14,4.99,4.89,01,leaning-backward
3.88,3.74,5.2,3.96,5.07,6.54,2.96,3.86,0.0,4.84,3.64,4.11,4.78,01,leaning-backward
4.28,4.16,6.05,4.32,5.78,7.69,3.21,4.38,0.0,5.59,4.14,4.07,4.89,01,leaning-backward
4.28,4.14,5.93,4.4,5.69,7.56,3.19,4.38,0.0,5.55,4.16,4.61,4.89,01,leaning-backward
4.28,4.16,5.97,4.32,5.69,7.56,3.2,4.35,0.01,5.51,4.14,4.47,4.89,01,leaning-backward
4.21,4.14,5.93,4.4,5.78,7.69,3.25,4.35,0.0,5.51,4.07,4.69,4.84,01,leaning-backward
4.26,4.11,5.89,4.4,5.69,7.56,3.17,4.3,0.01,5.44,4.01,4.64,4.75,01,leaning-backward
4.28,4.14,5.93,4.35,5.74,7.5,3.19,4.32,0.0,5.38,3.94,4.93,4.66,01,leaning-backward
4.26,4.14,5.97,4.4,5.78,7.56,3.19,4.3,0.0,5.4,3.92,4.47,4.59,01,leaning-backward
4.4,4.28,6.18,4.43,5.89,7.69,3.3,4.4,0.0,5.47,4.01,4.64,4.56,01,leaning-backward
4.3,4.32,5.97,4.56,5.85,7.39,3.21,4.3,0.0,5.3,3.74,4.14,4.38,01,leaning-backward
4.3,4.26,5.97,4.59,5.81,7.32,3.24,4.24,0.0,5.18,3.7,4.3,4.26,01,leaning-backward
4.24,4.28,6.01,4.64,5.85,7.44,3.21,4.28,0.0,5.3,3.7,4.4,4.28,01,leaning-backward
4.26,4.26,6.01,4.64,5.89,7.5,3.21,4.26,0.0,5.26,3.66,4.35,4.14,01,leaning-backward
3.88,4.21,5.97,4.59,5.93,7.32,3.17,4.24,0.0,5.3,3.66,4.19,4.26,01,leaning-backward
4.19,4.28,5.97,4.59,5.85,7.56,3.19,4.16,0.01,5.34,3.64,4.32,4.26,01,leaning-backward
4.03,3.7,5.81,4.47,5.81,7.44,3.21,4.26,0.01,5.26,3.72,4.26,4.35,01,leaning-backward
4.11,4.24,5.97,4.64,5.89,7.5,3.21,4.26,0.0,5.26,3.64,4.3,4.32,01,leaning-backward
4.14,4.26,5.97,4.61,5.81,7.5,3.2,4.24,0.0,5.3,3.67,3.04,4.3,01,leaning-backward
4.05,4.24,6.01,4.61,5.81,7.39,3.21,4.28,0.0,5.3,3.66,4.56,4.3,01,leaning-backward
3.9,3.63,5.24,4.11,5.4,5.85,2.96,3.94,0.01,5.26,3.63,4.35,4.16,01,leaning-backward
4.21,4.28,6.1,4.59,5.81,7.56,3.21,4.32,0.0,5.4,3.8,4.5,4.47,01,leaning-backward
3.84,3.99,5.97,4.64,5.85,7.75,3.24,4.1,0.01,4.93,3.21,3.9,4.43,01,leaning-backward
4.28,4.24,6.05,4.72,5.89,7.5,3.3,4.35,0.0,5.51,3.81,4.21,4.56,01,leaning-backward
4.3,4.26,5.89,4.64,5.93,7.75,3.26,4.28,0.01,5.44,3.78,3.96,4.35,01,leaning-backward
4.28,4.26,5.93,4.64,5.81,7.63,3.28,4.28,0.0,5.4,3.76,4.16,4.5,01,leaning-backward
4.28,4.21,6.01,4.72,5.81,7.69,3.26,4.26,0.0,5.38,3.74,4.14,4.47,01,leaning-backward
4.26,4.21,5.89,4.59,5.81,7.44,3.24,4.28,0.0,5.34,3.7,4.35,4.38,01,leaning-backward
3.88,3.8,5.2,4.05,5.14,6.54,3.05,3.92,0.0,4.8,3.42,4.03,4.1,01,leaning-backward
3.96,4.03,5.44,4.28,5.4,6.89,3.04,3.9,0.0,5.05,3.58,3.35,4.07,01,leaning-backward
3.86,3.92,5.63,4.35,5.55,7.05,3.15,4.14,0.0,5.2,3.24,3.94,4.19,01,leaning-backward
4.03,4.01,5.66,4.38,5.55,7.32,3.17,4.16,0.0,5.2,3.66,4.21,4.32,01,leaning-backward
3.94,3.86,5.44,4.3,5.44,7.0,3.14,4.03,0.0,5.07,3.51,3.94,4.21,01,leaning-backward
4.05,3.99,5.63,4.4,5.51,7.1,3.15,4.07,0.0,5.1,3.61,3.99,4.28,01,leaning-backward
4.07,4.01,5.66,4.4,5.59,7.32,3.21,4.19,0.01,5.3,3.74,4.11,4.38,01,leaning-backward
3.96,4.05,5.85,4.53,5.78,7.32,3.28,4.3,0.0,5.4,3.8,4.11,4.5,01,leaning-backward
4.28,4.16,5.89,4.59,5.78,7.5,3.28,4.3,0.0,5.38,3.81,4.66,4.47,01,leaning-backward
4.28,4.16,5.81,4.5,5.69,7.39,3.26,4.28,0.0,5.3,3.78,4.66,4.45,01,leaning-backward
4.24,4.14,5.85,4.47,5.59,7.28,3.26,4.24,0.0,5.26,3.78,4.64,4.43,01,leaning-backward
4.21,4.11,5.89,4.5,5.63,7.1,3.21,4.24,0.0,5.24,3.72,4.56,4.38,01,leaning-backward
4.26,4.16,5.89,4.47,5.63,7.16,3.26,4.26,0.0,5.24,3.76,4.47,4.38,01,leaning-backward
4.26,4.14,5.78,4.47,5.59,7.21,3.24,4.24,0.0,5.2,3.72,4.4,4.38,01,leaning-backward
4.43,4.26,5.89,4.56,5.85,7.39,3.26,4.3,0.0,5.05,3.64,4.07,4.35,01,leaning-backward
4.5,4.3,5.97,4.64,5.85,7.56,3.26,4.28,0.0,5.34,3.74,4.3,4.43,01,leaning-backward
4.47,4.26,5.97,4.61,5.85,7.56,3.28,4.3,0.0,5.38,3.78,4.32,4.4,01,leaning-backward
4.45,4.26,5.97,4.61,5.85,7.5,3.26,4.3,0.0,5.34,3.76,4.35,4.4,01,leaning-backward
4.4,4.24,5.89,4.53,5.69,7.39,3.25,4.26,0.0,5.26,3.74,4.5,4.32,01,leaning-backward
4.5,4.3,6.01,4.64,5.85,7.56,3.26,4.3,0.0,5.4,3.81,4.59,4.43,01,leaning-backward
4.47,4.3,5.93,4.56,5.85,7.5,3.28,4.32,0.01,5.38,3.76,3.47,4.4,01,leaning-backward
4.5,4.28,6.01,4.59,5.85,7.56,3.28,4.32,0.01,5.4,3.8,4.61,4.43,01,leaning-backward
4.47,4.28,6.05,4.61,5.85,7.5,3.28,4.35,0.01,5.38,3.76,4.59,4.38,01,leaning-backward
4.19,4.24,6.01,4.45,5.69,7.32,3.25,4.28,0.0,5.4,3.78,4.59,4.4,01,leaning-backward
4.47,4.28,5.89,4.56,5.78,7.44,3.3,4.28,0.0,5.38,3.74,4.53,4.14,01,leaning-backward
4.43,4.26,5.89,4.64,5.89,7.63,3.33,4.28,0.0,5.26,3.74,4.53,4.45,01,leaning-backward
4.47,4.26,6.01,4.64,5.89,7.56,3.31,4.28,0.0,5.44,3.8,4.28,4.43,01,leaning-backward
4.53,4.28,5.97,4.59,5.81,7.63,3.31,4.26,0.0,5.4,3.8,4.05,4.43,01,leaning-backward
4.5,4.28,6.01,4.61,5.85,7.5,3.3,4.32,0.01,5.44,3.81,3.9,4.43,01,leaning-backward
3.9,3.74,4.95,4.56,5.2,6.4,3.17,4.05,0.0,4.8,3.96,4.35,4.11,01,leaning-forward
3.78,3.74,4.89,4.61,5.14,6.36,3.14,4.01,0.03,4.84,4.01,4.78,4.01,01,leaning-forward
3.78,3.7,4.8,4.43,5.1,6.1,3.11,4.03,0.01,4.8,4.01,4.86,4.07,01,leaning-forward
3.81,3.59,4.84,4.5,5.07,6.36,3.11,4.07,0.03,4.78,4.14,4.8,4.05,01,leaning-forward
3.8,3.66,4.75,4.56,5.07,6.59,3.11,4.03,0.01,4.84,3.99,4.89,4.03,01,leaning-forward
3.84,3.63,4.95,4.16,5.07,6.45,3.15,3.94,0.01,4.95,4.03,4.86,4.05,01,leaning-forward
3.92,3.72,5.05,4.24,5.07,6.4,3.17,4.11,0.01,4.75,4.1,4.66,3.94,01,leaning-forward
3.96,3.7,5.01,4.35,4.99,6.5,3.21,3.99,0.03,4.95,3.9,4.72,3.96,01,leaning-forward
3.99,3.72,5.01,4.5,5.07,6.4,3.26,4.07,0.0,4.86,3.84,4.56,3.9,01,leaning-forward
4.01,3.81,5.05,4.61,5.2,6.59,3.31,4.1,0.01,4.72,3.72,4.3,3.86,01,leaning-forward
4.05,3.8,4.86,4.72,5.18,6.45,3.26,4.05,0.01,4.69,3.66,4.21,3.86,01,leaning-forward
4.01,3.8,5.18,4.61,5.2,6.54,3.33,4.11,0.01,4.93,3.86,4.14,4.01,01,leaning-forward
4.03,3.76,4.95,4.53,5.2,6.5,3.24,4.07,0.0,4.84,3.81,4.32,3.99,01,leaning-forward
4.01,3.76,5.05,4.59,5.18,6.54,3.31,4.1,0.0,4.84,3.81,4.5,3.94,01,leaning-forward
4.01,3.8,5.05,4.66,5.14,6.5,3.31,4.07,0.0,4.86,3.86,4.66,3.92,01,leaning-forward
4.01,3.8,5.01,4.56,5.1,6.45,3.31,4.16,0.03,4.8,3.78,4.53,4.03,01,leaning-forward
4.07,3.74,5.14,4.69,5.34,6.74,3.31,4.16,0.01,4.93,3.9,4.84,4.1,01,leaning-forward
3.99,3.74,5.05,4.59,5.14,6.59,3.28,4.14,0.03,4.84,3.86,4.69,4.01,01,leaning-forward
3.94,3.7,5.07,4.61,5.1,6.4,3.25,4.1,0.01,4.89,3.86,4.69,3.99,01,leaning-forward
4.11,3.86,5.1,4.78,5.2,6.5,3.33,4.21,0.01,4.99,3.92,4.72,4.01,01,leaning-forward
4.07,3.78,5.14,4.75,5.2,6.54,3.31,4.07,0.0,4.86,3.81,4.59,3.96,01,leaning-forward
4.01,3.78,5.05,4.69,5.34,6.54,3.36,4.01,0.0,4.8,3.88,4.64,3.96,01,leaning-forward
4.19,3.74,5.2,4.75,5.24,6.59,3.33,4.14,0.01,4.89,3.88,4.78,4.01,01,leaning-forward
4.01,3.78,5.1,4.47,5.01,6.5,3.24,4.14,0.0,4.72,3.88,4.66,3.92,01,leaning-forward
4.07,3.81,5.24,4.47,5.01,6.36,3.25,4.19,0.03,4.78,4.01,4.89,3.99,01,leaning-forward
3.99,3.8,5.1,4.38,5.14,6.36,3.14,4.16,0.0,4.66,4.05,4.11,3.99,01,leaning-forward
3.96,3.74,5.07,4.24,4.93,6.18,3.08,4.16,0.0,4.86,4.16,4.89,4.01,01,leaning-forward
4.01,3.76,5.01,4.24,4.89,6.31,3.1,4.21,0.01,4.86,4.16,4.95,4.16,01,leaning-forward
4.01,3.8,5.14,3.94,4.86,6.28,2.94,4.11,0.0,4.95,4.24,5.01,4.14,01,leaning-forward
3.84,3.67,5.05,4.21,5.01,6.4,3.1,4.19,0.0,4.86,4.16,4.95,4.11,01,leaning-forward
3.74,3.63,5.05,4.14,4.93,6.22,3.11,4.19,0.01,4.89,4.19,5.01,4.19,01,leaning-forward
3.76,3.72,5.14,4.24,4.78,6.28,2.99,4.07,0.0,4.86,4.14,4.99,4.14,01,leaning-forward
3.8,3.67,5.05,4.19,4.95,6.28,3.08,4.05,0.0,4.84,4.11,4.93,4.07,01,leaning-forward
3.86,3.72,5.14,4.11,4.95,6.36,3.1,4.03,0.01,4.86,4.11,4.93,4.07,01,leaning-forward
3.76,3.64,5.01,3.86,4.72,6.28,3.06,4.11,0.01,4.95,4.19,5.1,4.19,01,leaning-forward
3.8,3.84,5.14,3.84,4.72,6.31,3.06,4.26,0.0,4.89,4.14,4.86,4.14,01,leaning-forward
4.03,3.76,5.24,3.94,4.89,6.64,3.26,4.21,0.01,4.95,4.16,4.66,4.11,01,leaning-forward
3.99,3.81,5.14,4.03,4.86,6.4,3.24,4.19,0.01,4.99,3.92,3.33,4.03,01,leaning-forward
3.51,3.66,4.32,3.9,5.07,6.54,3.31,4.1,0.03,4.89,3.96,3.84,4.05,01,leaning-forward
3.99,3.74,5.14,3.92,4.75,6.59,3.19,4.21,0.0,5.1,4.1,4.93,4.14,01,leaning-forward
3.99,3.81,5.26,3.96,4.89,6.54,3.21,4.24,0.03,5.01,4.16,5.05,4.14,01,leaning-forward
3.96,3.78,5.07,3.84,4.69,6.45,3.17,4.11,0.0,4.95,4.07,4.99,4.11,01,leaning-forward
3.94,3.72,5.24,3.9,4.75,6.5,3.2,4.24,0.0,4.95,4.21,5.07,4.19,01,leaning-forward
4.03,3.8,5.1,3.94,4.78,6.45,3.19,4.24,0.03,4.95,4.1,4.99,4.1,01,leaning-forward
4.05,3.74,5.07,3.81,4.69,6.45,3.17,4.14,0.03,4.99,4.05,5.05,4.19,01,leaning-forward
4.11,3.86,5.24,3.86,4.75,6.5,3.15,4.24,0.0,5.07,4.16,5.07,4.14,01,leaning-forward
4.01,3.72,5.18,3.8,4.84,6.59,3.28,4.19,0.01,5.01,4.14,5.1,4.16,01,leaning-forward
4.21,3.67,5.24,3.86,4.8,6.4,3.2,4.19,0.0,4.99,4.14,5.14,4.11,01,leaning-forward
4.21,3.9,5.24,3.94,4.86,6.54,3.24,4.26,0.01,5.07,4.16,5.1,4.16,01,leaning-forward
3.99,3.78,5.24,3.9,4.8,6.28,3.19,4.19,0.01,4.95,4.16,5.1,4.21,01,leaning-forward
4.07,3.76,5.05,3.84,4.69,6.4,3.25,4.21,0.01,5.01,4.19,5.01,4.16,01,leaning-forward
4.16,3.81,5.07,3.94,4.8,6.5,3.21,4.21,0.01,5.07,4.11,5.14,4.21,01,leaning-forward
4.11,3.84,5.24,3.67,4.66,6.64,3.21,4.26,0.0,5.01,4.16,5.14,4.21,01,leaning-forward
4.07,3.8,5.18,3.99,4.84,6.59,3.25,4.3,0.03,5.2,4.16,5.2,4.19,01,leaning-forward
4.07,3.8,5.24,3.92,4.84,6.5,3.19,4.16,0.0,5.01,4.14,5.14,4.19,01,leaning-forward
4.07,3.76,5.2,3.9,4.8,6.45,3.25,4.19,0.01,4.93,4.11,5.14,4.14,01,leaning-forward
3.96,3.9,5.14,3.94,4.86,6.5,3.24,4.19,0.0,4.89,4.03,5.14,4.19,01,leaning-forward
4.03,3.86,5.14,3.94,4.84,6.45,3.24,4.16,0.01,5.01,4.14,5.2,4.14,01,leaning-forward
4.14,3.8,5.24,3.99,4.86,6.5,3.24,4.24,0.01,5.1,4.16,5.24,4.11,01,leaning-forward
4.14,3.8,5.1,4.11,4.75,6.45,3.26,4.21,0.03,4.99,4.05,4.78,4.11,01,leaning-forward
4.1,3.74,5.05,3.92,4.8,6.54,3.26,4.07,0.0,4.93,4.1,4.69,4.14,01,leaning-forward
4.03,3.74,5.18,4.01,4.78,5.85,3.1,4.14,0.0,5.07,4.19,4.66,4.16,01,leaning-forward
3.96,3.74,5.01,3.96,4.69,6.5,3.17,4.19,0.01,5.07,4.21,5.18,4.26,01,leaning-forward
3.92,3.61,5.18,3.92,4.66,6.36,3.05,4.07,0.01,5.07,4.11,5.07,4.26,01,leaning-forward
3.94,3.72,5.1,3.92,4.75,6.5,3.13,4.35,0.04,5.05,4.28,5.18,4.24,01,leaning-forward
4.1,3.84,5.07,4.01,4.75,6.54,3.21,4.35,0.03,5.05,4.28,5.24,4.3,01,leaning-forward
4.03,3.84,5.18,3.9,4.78,6.31,3.17,4.26,0.01,5.01,4.14,5.05,4.16,01,leaning-forward
4.11,3.92,5.38,4.3,4.84,6.31,3.25,4.28,0.01,4.99,3.99,4.45,4.03,01,leaning-forward
4.1,3.92,5.18,4.16,5.01,6.54,3.33,4.19,0.01,4.95,4.01,4.45,3.99,01,leaning-forward
4.4,4.59,5.47,5.34,5.66,6.89,3.66,4.21,0.01,4.64,3.5,4.28,3.61,01,leaning-forward
4.53,4.56,5.44,5.3,5.55,6.94,3.55,4.11,0.01,4.64,3.51,4.32,3.59,01,leaning-forward
4.35,4.53,5.51,5.2,5.51,6.84,3.58,4.14,0.01,4.59,3.47,4.28,3.59,01,leaning-forward
4.4,4.5,5.47,5.18,5.59,6.59,3.61,4.14,0.01,4.5,3.41,4.3,3.59,01,leaning-forward
4.32,4.45,5.4,5.07,5.47,6.79,3.63,4.11,0.01,4.53,3.45,4.32,3.63,01,leaning-forward
4.21,4.32,5.44,4.99,5.38,6.69,3.59,4.14,0.01,4.66,3.51,4.3,3.64,01,leaning-forward
4.3,4.43,5.4,4.93,5.47,6.84,3.51,4.19,0.0,4.59,3.51,4.32,3.64,01,leaning-forward
4.38,4.45,5.2,5.1,5.55,6.84,3.58,4.19,0.01,4.66,3.58,4.28,3.7,01,leaning-forward
4.35,4.4,5.4,5.05,5.51,6.94,3.63,4.26,0.01,4.69,3.55,4.28,3.7,01,leaning-forward
4.38,4.4,5.38,4.99,5.4,6.74,3.55,4.16,0.0,4.59,3.55,4.26,3.64,01,leaning-forward
4.38,4.4,5.34,5.01,5.59,6.84,3.55,4.16,0.01,4.66,3.58,4.32,3.7,01,leaning-forward
4.35,4.38,5.3,5.01,5.4,6.74,3.51,4.21,0.01,4.69,3.61,4.38,3.63,01,leaning-forward
4.19,4.3,5.38,4.95,5.4,6.79,3.55,4.11,0.0,4.75,3.63,4.35,3.66,01,leaning-forward
4.26,4.38,5.26,4.95,5.44,6.79,3.58,4.16,0.03,4.69,3.59,4.4,3.7,01,leaning-forward
4.21,4.28,5.26,5.1,5.47,6.79,3.51,4.14,0.0,4.61,3.58,4.35,3.66,01,leaning-forward
4.35,4.38,5.51,5.18,5.55,6.84,3.61,4.26,0.01,4.78,3.63,4.47,3.67,01,leaning-forward
4.3,4.32,5.44,5.14,5.44,6.84,3.58,4.21,0.03,4.64,3.61,4.35,3.67,01,leaning-forward
4.28,4.3,5.26,5.01,5.4,6.74,3.58,4.19,0.01,4.66,3.64,4.43,3.63,01,leaning-forward
4.32,4.4,5.3,5.2,5.59,6.74,3.54,4.21,0.01,4.72,3.63,4.47,3.72,01,leaning-forward
4.3,4.35,5.24,5.01,5.47,6.74,3.54,4.11,0.0,4.53,3.63,4.35,3.7,01,leaning-forward
4.26,4.24,5.38,4.95,5.4,6.79,3.58,4.14,0.01,4.69,3.59,4.45,3.7,01,leaning-forward
4.28,4.28,5.34,5.01,5.44,6.79,3.58,4.14,0.01,4.61,3.64,4.47,3.78,01,leaning-forward
4.24,4.28,5.18,5.1,5.44,6.74,3.51,4.1,0.01,4.64,3.59,4.38,3.74,01,leaning-forward
4.14,4.19,5.34,5.14,5.51,6.79,3.63,4.1,0.01,4.61,3.61,4.4,3.74,01,leaning-forward
4.4,4.3,5.38,5.14,5.51,7.05,3.55,4.16,0.01,4.78,3.61,4.4,3.78,01,leaning-forward
4.21,4.21,5.34,5.07,5.44,6.74,3.55,4.07,0.03,4.72,3.63,4.45,3.72,01,leaning-forward
3.88,4.19,5.1,5.1,5.26,6.84,3.55,4.11,0.01,4.66,3.66,4.53,3.72,01,leaning-forward
4.3,4.21,5.3,5.07,5.51,6.59,3.55,4.05,0.0,4.72,3.59,4.47,3.72,01,leaning-forward
4.16,4.3,5.38,5.18,5.51,6.79,3.64,4.14,0.01,4.72,3.66,4.56,3.8,01,leaning-forward
4.21,4.28,5.38,5.24,5.59,6.79,3.61,4.16,0.03,4.66,3.63,4.59,3.76,01,leaning-forward
4.3,4.3,5.2,5.05,5.44,6.74,3.59,4.07,0.01,4.69,3.61,4.59,3.76,01,leaning-forward
4.24,4.28,5.34,5.2,5.4,6.79,3.58,4.1,0.01,4.72,3.63,4.56,3.78,01,leaning-forward
4.28,4.3,5.44,5.26,5.55,6.74,3.59,4.11,0.0,4.69,3.64,4.5,3.78,01,leaning-forward
4.21,4.24,5.3,5.07,5.47,6.74,3.61,4.11,0.01,4.72,3.66,4.53,3.74,01,leaning-forward
4.19,4.26,5.26,5.18,5.51,6.79,3.61,4.14,0.01,4.75,3.66,4.59,3.8,01,leaning-forward
4.24,4.19,5.26,5.1,5.47,6.84,3.59,4.07,0.0,4.69,3.63,4.47,3.76,01,leaning-forward
4.16,4.28,5.18,5.26,5.47,6.79,3.66,4.1,0.04,4.84,3.67,4.59,3.8,01,leaning-forward
4.24,4.21,5.26,5.18,5.59,6.89,3.66,4.16,0.03,4.75,3.59,4.53,3.78,01,leaning-forward
4.14,4.11,5.18,4.99,5.44,6.74,3.59,4.05,0.0,4.75,3.63,4.5,3.78,01,leaning-forward
4.26,4.21,5.2,5.05,5.34,6.79,3.66,4.19,0.03,4.75,3.63,4.21,3.74,01,leaning-forward
4.24,4.19,5.07,5.01,5.4,6.69,3.59,4.03,0.0,4.66,3.64,4.21,3.74,01,leaning-forward
4.26,4.11,5.3,4.84,5.4,6.89,3.54,4.19,0.0,4.78,3.64,4.3,3.81,01,leaning-forward
4.26,4.19,5.26,4.89,5.38,6.74,3.58,4.07,0.0,4.69,3.64,4.35,3.81,01,leaning-forward
4.16,4.11,5.18,4.89,5.26,6.64,3.58,4.1,0.0,4.72,3.64,4.3,3.8,01,leaning-forward
4.16,4.11,5.18,4.86,5.34,6.74,3.61,4.21,0.03,4.69,3.59,4.47,3.74,01,leaning-forward
4.16,4.05,5.26,4.86,5.44,6.54,3.67,4.21,0.0,4.78,3.64,4.53,3.8,01,leaning-forward
4.1,4.07,5.2,4.86,5.34,6.69,3.63,4.1,0.01,4.69,3.63,4.5,3.86,01,leaning-forward
4.14,4.19,5.2,4.93,5.34,6.64,3.64,4.14,0.01,4.75,3.67,4.56,3.81,01,leaning-forward
4.07,4.11,5.18,4.89,5.34,6.79,3.61,4.1,0.01,4.75,3.66,4.5,3.78,01,leaning-forward
4.19,4.11,5.26,4.93,5.3,6.69,3.58,4.1,0.01,4.75,3.64,4.56,3.86,01,leaning-forward
4.19,4.11,5.26,4.93,5.34,6.69,3.59,4.14,0.01,4.78,3.67,4.59,3.78,01,leaning-forward
4.14,4.1,5.24,4.78,5.3,6.69,3.58,4.11,0.0,4.78,3.7,4.53,3.81,01,leaning-forward
4.16,4.1,5.3,4.93,5.26,6.84,3.61,4.21,0.03,4.84,3.72,4.56,3.8,01,leaning-forward
4.1,4.07,5.26,4.89,5.26,6.74,3.58,4.11,0.0,4.72,3.61,4.38,3.81,01,leaning-forward
4.11,4.07,5.24,4.86,5.34,6.84,3.64,4.07,0.03,4.86,3.76,4.5,3.84,01,leaning-forward
4.28,4.1,5.3,4.95,5.34,6.74,3.59,4.14,0.01,4.8,3.7,4.38,3.81,01,leaning-forward
4.28,4.03,5.24,4.93,5.38,6.79,3.58,4.11,0.01,4.69,3.64,4.4,3.8,01,leaning-forward
4.26,4.14,5.1,5.07,5.47,6.89,3.66,4.11,0.01,4.8,3.7,4.32,3.76,01,leaning-forward
4.16,4.05,5.24,4.99,5.3,6.64,3.66,4.14,0.03,4.86,3.72,4.43,3.8,01,leaning-forward
4.07,3.94,5.24,4.93,5.3,6.69,3.58,4.11,0.01,4.75,3.66,4.45,3.84,01,leaning-forward
4.26,4.1,5.24,4.93,5.3,6.59,3.58,4.05,0.0,4.72,3.66,4.43,3.81,01,leaning-forward
4.24,4.1,5.24,5.14,5.34,6.69,3.59,4.11,0.0,4.75,3.72,4.4,3.81,01,leaning-forward
4.21,4.07,5.24,4.95,5.44,6.79,3.61,4.19,0.0,4.66,3.63,4.45,3.84,01,leaning-forward
4.11,3.96,5.24,4.99,5.38,6.69,3.61,4.19,0.01,4.84,3.67,4.38,3.81,01,leaning-forward
4.28,4.1,5.38,5.01,5.44,6.79,3.61,4.16,0.0,4.8,3.67,4.47,3.84,01,leaning-forward
4.35,3.84,5.1,5.1,5.59,5.81,3.45,4.19,0.01,4.89,3.67,4.56,3.86,01,leaning-forward
4.28,4.11,5.26,4.95,5.44,6.79,3.64,4.03,0.0,4.8,3.66,4.53,3.81,01,leaning-forward
4.16,4.11,5.14,4.93,5.4,6.69,3.59,4.14,0.01,4.86,3.7,4.59,3.86,01,leaning-forward
4.3,4.14,5.26,4.99,5.51,6.79,3.61,4.14,0.01,4.78,3.66,4.59,3.84,01,leaning-forward
